year,state,area
2018,ACRE,444.00
2009,ACRE,167.00
2010,ACRE,259.00
2017,ACRE,257.00
2011,ACRE,280.00
2015,ACRE,264.00
2013,ACRE,221.00
2014,ACRE,309.00
2012,ACRE,305.00
1995,TOCANTINS,797.00
2004,TOCANTINS,158.00
2003,TOCANTINS,156.00
2002,TOCANTINS,212.00
1988,TOCANTINS,1650.00
2005,TOCANTINS,271.00
2000,TOCANTINS,244.00
2001,TOCANTINS,189.00
1996,TOCANTINS,320.00
1989,TOCANTINS,730.00
1998,TOCANTINS,576.00
1999,TOCANTINS,216.00
1994,TOCANTINS,333.00
1993,TOCANTINS,333.00
2006,TOCANTINS,124.00
1992,TOCANTINS,409.00
1990,TOCANTINS,580.00
1997,TOCANTINS,273.00
2008,TOCANTINS,107.00
2007,TOCANTINS,63.00
1991,TOCANTINS,440.00
2019,TOCANTINS,21.00
2016,TOCANTINS,58.00
2018,TOCANTINS,25.00
2009,TOCANTINS,61.00
2010,TOCANTINS,49.00
2017,TOCANTINS,31.00
2011,TOCANTINS,40.00
2015,TOCANTINS,57.00
2013,TOCANTINS,74.00
2014,TOCANTINS,50.00
2012,TOCANTINS,52.00
1995,RORAIMA,220.00
2004,RORAIMA,311.00
2003,RORAIMA,439.00
2002,RORAIMA,84.00
1988,RORAIMA,290.00
2005,RORAIMA,133.00
2000,RORAIMA,253.00
2001,RORAIMA,345.00
1996,RORAIMA,214.00
1989,RORAIMA,630.00
1998,RORAIMA,223.00
1999,RORAIMA,220.00
1994,RORAIMA,240.00
1993,RORAIMA,240.00
2006,RORAIMA,231.00
1992,RORAIMA,281.00
1990,RORAIMA,150.00
1997,RORAIMA,184.00
2008,RORAIMA,574.00
2007,RORAIMA,309.00
1991,RORAIMA,420.00
2019,RORAIMA,617.00
2016,RORAIMA,202.00
2018,RORAIMA,195.00
2009,RORAIMA,121.00
2010,RORAIMA,256.00
2017,RORAIMA,132.00
2011,RORAIMA,141.00
2015,RORAIMA,156.00
2013,RORAIMA,170.00
2014,RORAIMA,219.00
2012,RORAIMA,124.00
1995,AMAPÁ,9.00
2004,AMAPÁ,46.00
2003,AMAPÁ,25.00
1988,AMAPÁ,60.00
2005,AMAPÁ,33.00
2001,AMAPÁ,7.00
1989,AMAPÁ,130.00
1998,AMAPÁ,30.00
2006,AMAPÁ,30.00
1992,AMAPÁ,36.00
1990,AMAPÁ,250.00
1997,AMAPÁ,18.00
2008,AMAPÁ,100.00
2007,AMAPÁ,39.00
1991,AMAPÁ,410.00
2019,AMAPÁ,8.00
2016,AMAPÁ,17.00
2018,AMAPÁ,24.00
2009,AMAPÁ,70.00
2010,AMAPÁ,53.00
2017,AMAPÁ,24.00
2011,AMAPÁ,66.00
2015,AMAPÁ,25.00
2013,AMAPÁ,23.00
2014,AMAPÁ,31.00
2012,AMAPÁ,27.00
